"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","60.582","60.88","61.023","61.372","61.522","61.686","62.329","62.702","62.966","63.335","63.715","64.073","64.516","64.868","65.259","65.428","65.807","66.14","66.491","66.908","67.372","68.178","68.456","68.587","68.751","68.861","68.954","69.581","70.082","70.039","70.096","70.142","70.177","70.223","70.27","70.311","70.447","70.491","70.54","70.591","70.597","70.724","70.817","70.91","70.63","70.965","71.384","71.797","71.256","71.644","72.126","72.223","72.346","72.361","72.448","72.569","72.582","72.838","73.096","73.286","72.828","71.798","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","42.5431627109112","42.7429203642934","43.1134272779315","43.1577660426942","43.7050555142663","43.6826894478482","43.4901619048218","44.1149282976705","44.4032620497399","44.5792318064182","44.8664574804166","45.289742041229","44.9977009823533","45.8845481825658","45.8106928597236","46.0004021974988","46.4799182704524","46.7053081652754","46.7388753685675","47.2851743112482","47.6924367667017","48.0392527793917","48.2469716773968","46.6509666694814","46.4401788685541","46.7983927211196","47.3735998846512","47.6959634809498","46.9193669772452","48.3707975811769","48.2336956594133","48.103799345053","47.6512676870803","47.9092598236726","48.7719685025176","48.83997573395","48.6764095511719","48.9097550234422","48.0877684845754","49.1074005198067","50.2368403625047","50.5732792132029","50.9383927817432","51.5061246422434","52.0291796349508","52.6792907826266","53.5822670689842","54.2943348209578","54.9409629503684","55.7571338969577","56.4796472634335","57.2591451349442","57.9297138124993","58.4717038980451","59.0281433257152","59.517464093099","60.0212486659236","60.5358392824653","60.9051856180292","61.2907210048687","60.8174841935841","59.8945091279093","",
"Afghanistan","AFG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","31.87","32.409","32.883","33.346","33.828","34.289","34.768","35.225","35.712","36.206","36.692","37.178","37.681","38.241","38.792","39.35","39.892","40.492","39.022","37.314","37.799","38.312","35.212","35.518","29.793","29.896","36.389","36.739","41.572","42.891","43.709","44.353","45.07","50.216","49.531","51.039","51.722","52.153","51.134","53.41","53.762","54.272","55.227","56.032","56.658","57.013","57.133","57.342","58.172","58.82","59.278","59.825","60.317","60.791","60.812","60.76","61.193","60.105","59.923","60.619","59.866","58.915","",
"Africa Western and Central","AFW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","36.4493959196289","36.7640725421936","37.5664024534281","37.8786600566624","38.1010226639371","38.4273633167565","38.675899177088","38.014845715365","38.6643208034943","38.9693902666443","39.8900941911669","40.4660909508674","41.1631909769699","41.8155778151312","42.4515108451403","43.1131236200528","43.8516011602725","44.5069500432548","44.9881738318788","45.3865610916076","45.7032905405797","46.0303889761617","46.2427930834438","46.4984809446741","46.6451125997067","46.688084711637","46.7574998036851","46.8057234782274","47.1155356833791","47.2797334417521","47.1520561249369","47.2175579820877","47.2765260622651","47.3913649258719","47.2843828837181","47.386972966317","47.5150621467513","47.7011105749472","48.1018638757073","48.5241485838513","49.0777124990516","49.4656769879182","49.8332997902483","50.2949706737943","50.7570067168062","51.2965321492648","51.8346342424235","52.2577825008301","52.7419547449707","53.2411007549889","53.6578841772444","54.1013143438104","54.4220901248178","54.7328154431258","54.9676741841976","55.2335069473087","55.7171055612091","55.9426637832141","56.2718124700128","56.5773921225952","56.1310226277444","55.903419131817","",
"Angola","AGO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","36.585","34.704","34.95","35.247","35.539","35.884","36.144","36.466","36.837","37.192","37.543","37.933","38.313","38.642","39.026","38.397","38.303","38.575","38.99","39.344","39.63","39.997","40.274","39.118","39.367","39.712","39.948","37.575","38.322","38.557","38.674","41.009","39.189","38.161","39.733","43.885","44.118","44.35","42.582","42.455","43.562","43.714","44.94","47.568","48.532","49.508","50.227","51.473","52.527","53.537","54.415","55.314","56.22","56.925","57.606","58.213","58.741","59.331","59.582","59.977","59.584","59.029","",
"Albania","ALB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","51.365","52.618","53.82","55.071","56.313","57.358","58.328","59.409","60.401","61.426","62.407","63.222","64.037","64.866","65.55","66.121","66.537","66.964","67.117","67.384","68.048","68.194","68.354","68.551","68.705","68.84","69.12","69.476","69.643","69.853","70.05","70.321","70.66","70.957","71.202","71.428","71.669","70.773","72.19","72.401","72.646","72.921","73.22","73.499","73.786","74.033","74.243","75.1","75.163","75.316","75.493","75.693","75.73","75.786","76.114","76.404","76.639","76.873","77.037","77.168","74.632","74.087","",
"Andorra","AND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","43.3250907255287","44.0102061639814","44.4097263254519","45.3934768515071","46.3686191052649","46.6845804426613","46.8567432733229","47.2510452330933","47.8372558345912","48.1635728365837","48.7041364713051","49.6827316299103","50.2671089786404","50.8483077253023","51.549527878965","51.9561793373513","52.3774820467639","53.7362791867332","54.4792594331854","55.1803165518077","55.4172649168093","55.6783179806657","55.9204270127611","56.6460466787608","57.3407366147101","58.0839392498904","58.9459788652298","58.934014315196","58.2416787585387","60.4168536274542","60.8344947714514","61.2571484976589","61.5986818982347","62.5769848987276","63.7105519963085","63.4268719799566","63.837930946738","64.0903169334415","63.8811635157242","65.0773565638944","65.4253868087526","65.7681999138218","66.0595981104082","65.8886734094373","65.8381810117335","66.0752445736269","66.451363970705","66.8229524231152","67.3017600486276","67.9017226858728","68.1434118575784","68.35467226009","68.1981920942905","68.1690502575848","68.4536040445749","68.8064676834851","68.8646134647447","69.3336597525731","69.6093962051032","69.9069657642315","68.9362228892435","68.8324333178596","",
"United Arab Emirates","ARE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","46.613","47.606","48.646","49.584","50.967","52.131","53.298","54.424","55.692","56.956","58.249","59.478","60.683","61.656","62.74","63.484","64.229","64.911","65.589","66.199","66.865","67.496","68.037","68.317","68.824","69.075","69.303","69.768","69.907","70.09","70.262","70.698","70.831","70.938","71.027","71.152","71.365","71.555","71.704","72.348","73.166","73.388","73.631","74.984","75.202","75.417","75.639","75.825","76.027","76.233","76.459","76.665","76.931","77.084","77.331","77.563","77.684","77.871","78.028","78.175","77.464","77.216","",
"Argentina","ARG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","60.916","61.24","61.035","61.178","61.037","61.235","61.525","61.524","61.317","61.243","61.971","62.028","62.361","62.708","62.803","63.291","63.367","63.93","64.38","64.708","64.826","65.125","65.083","65.518","65.44","66.141","66.655","67.148","67.711","68.09","68.552","68.957","69.095","69.16","70.18","69.95","70.123","69.705","70.149","70.407","70.583","70.749","70.752","70.83","71.53","71.692","72.066","71.487","72.276","72.694","72.516","72.841","72.939","73.011","73.424","73.294","72.933","73.526","73.631","73.857","72.546","72.182","",
"Armenia","ARM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","58.252","58.551","58.849","59.128","59.271","59.548","59.831","60.047","59.954","60.228","60.482","60.754","60.991","61.075","61.326","61.565","61.753","61.79","62.112","62.405","62.729","63.034","63.338","63.544","64.004","64.692","64.838","65.015","53.036","65.293","65.447","65.008","64.747","64.885","65.08","65.445","65.82","66.322","66.785","66.554","66.89","67.073","67.124","67.306","67.494","67.596","67.743","68.08","67.995","68.242","68.597","68.613","69.037","69.062","69.236","69.595","69.673","69.92","69.992","70.403","67.051","66.554","",
"American Samoa","ASM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","58.904","59.688","60.464","61.404","62.219","63.183","64.113","64.978","65.787","66.581","67.062","67.609","68.004","68.456","68.762","69.006","69.55","69.73","69.968","70.139","70.359","70.543","70.632","70.71","70.783","70.832","70.835","70.819","70.847","70.801","70.899","70.881","70.808","71.028","71.029","70.971","71.047","71.087","71.058","71.368","71.503","71.912","72.48","72.742","73.153","73.07","72.972","73.277","73.509","73.796","73.959","74.244","74.476","74.671","74.908","75.148","75.366","75.52","75.724","75.909","76.061","75.775","",
"Australia","AUS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","67.7857142857143","67.9","67.84","67.78","67.72","67.66","67.6","67.64","67.68","67.72","67.76","67.8","68.16","68.52","68.88","69.24","69.6","69.92","70.24","70.56","70.88","71.2","71.5","71.8","72.1","72.4","72.7","73.02","73.34","73.66","73.98","74.3","74.5","75","75","75","75.2","75.7","75.9","76.2","76.6","77","77.4","77.8","78.1","78.5","78.7","79","79.2","79.3","79.5","79.7","79.9","80.1","80.3","80.4","80.4","80.5","80.7","80.9","81.2","81.3","",
"Austria","AUT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","65.41","66.47","66.29","66.39","66.8","66.61","66.88","66.63","66.76","66.56","66.5","66.7","67","67.6","67.5","67.7","68.2","68.5","68.5","68.8","69","69.3","69.4","69.5","70.1","70.4","71","71.5","71.9","71.9","72.3","72.3","72.5","72.8","73.2","73.4","73.7","74.1","74.5","74.9","75.2","75.6","75.8","75.9","76.4","76.6","77.1","77.4","77.7","77.6","77.8","78.3","78.4","78.6","79.1","78.8","79.3","79.4","79.4","79.7","78.9","78.8","",
"Azerbaijan","AZE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","51.386","51.791","52.021","52.396","52.642","53.017","53.194","53.524","53.791","54.176","54.573","54.86","55.327","55.688","55.727","56.011","56.064","56.347","56.45","56.695","57.006","57.266","57.456","58.037","58.276","58.523","58.608","58.778","58.903","58.896","58.423","57.919","56.583","56.611","57.044","58.009","58.594","58.849","59.539","60.276","61.032","61.697","62.589","63.161","63.881","64.154","64.762","65.189","65.623","65.976","66.255","66.64","66.905","67.482","67.813","68.081","68.411","68.953","69.693","70.23","62.986","65.646","",
"Burundi","BDI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","41.533","41.804","42.102","42.358","42.543","40.087","42.155","41.912","41.98","41.379","41.69","41.625","23.209","35.36","41.741","41.796","41.837","42.114","42.368","43.144","43.897","44.923","45.88","46.667","47.009","46.971","46.503","45.73","40.601","43.785","43.011","42.539","42.474","34.984","42.521","42.257","42.435","43.521","44.621","45.699","45.272","46.127","47.902","49.072","50.374","51.387","52.291","53.279","53.963","54.772","55.714","56.396","57.086","57.776","58.35","58.226","59.088","59.764","59.821","60.339","59.465","59.711","",
"Belgium","BEL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","66.78","67.56","67.4","67.11","67.76","67.64","67.76","67.93","67.62","67.56","67.85","67.88","68.21","68.45","68.82","68.82","68.91","69.53","69.42","69.94","69.89","70.29","70.61","70.63","71","71.13","71.4","72","72.2","72.34","72.73","72.88","73","72.96","73.36","73.47","73.88","74.2","74.4","74.4","74.6","74.9","75.1","75.3","76","76.2","76.6","77.1","76.9","77.4","77.5","78","77.8","78.1","78.8","78.7","79","79.2","79.4","79.8","78.5","79.5","",
"Benin","BEN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","37.377","37.73","38.111","38.429","38.914","39.27","39.666","40.055","40.44","40.88","41.184","41.495","42.05","42.406","42.858","43.312","44.027","44.502","44.974","45.169","45.585","45.952","46.351","46.643","46.874","47.602","48.29","48.812","49.643","50.006","50.592","50.894","51.431","52.123","52.711","53.393","53.962","54.304","54.357","54.654","54.684","54.924","55.158","55.263","55.552","55.703","56.033","56.379","56.462","56.568","57.014","57.163","57.627","57.696","57.962","58.058","58.332","58.505","58.916","59.05","58.693","58.221","",
"Burkina Faso","BFA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","34.837","35.145","35.598","35.941","36.124","36.531","36.757","37.111","37.293","37.577","37.925","38.194","38.763","39.205","40.009","40.962","41.92","42.787","43.723","44.506","45.236","45.626","46.376","46.892","47.493","47.814","47.981","48.03","48.178","48.225","48.383","48.396","48.382","48.12","48.071","48.224","48.313","48.176","48.691","48.875","49.225","49.471","49.752","50.32","50.953","51.479","52.234","52.878","53.745","54.493","54.959","55.527","56.033","56.277","56.727","57.184","57.623","57.797","58.29","58.173","57.787","57.474","",
